,開始時刻,終了時刻,左クリック,右クリック,打鍵回数,実行ファイル名,手動分類,候補1,候補2,候補3,自動推定,
,2013/05/22 10:14:48,2013/05/22 10:15:01,3,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:01,2013/05/22 10:15:24,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:24,2013/05/22 10:15:36,3,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:15:36,2013/05/22 10:15:40,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:40,2013/05/22 10:20:02,14,3,24,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:20:02,2013/05/22 10:24:46,10,0,8,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:25:18,2013/05/22 10:28:08,30,0,39,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:28:08,2013/05/22 10:28:21,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:28:21,2013/05/22 10:28:27,2,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:28:27,2013/05/22 10:28:28,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:28:46,2013/05/22 10:29:38,4,0,22,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:29:38,2013/05/22 10:30:02,0,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:30:02,2013/05/22 10:30:08,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:30:09,2013/05/22 10:30:46,20,0,2,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:30:46,2013/05/22 10:30:51,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,プログラミング,
,2013/05/22 10:30:51,2013/05/22 10:30:53,1,0,0,explorer.exe:WORKSHOP (E:),テスト,,,,プログラミング,
,2013/05/22 10:30:53,2013/05/22 10:30:54,1,0,0,explorer.exe:AIRSForOVLY,テスト,,,,プログラミング,
,2013/05/22 10:30:54,2013/05/22 10:30:56,1,0,0,explorer.exe:AIRS_OVLY_VC2005,テスト,,,,プログラミング,
,2013/05/22 10:30:56,2013/05/22 10:30:58,1,0,0,explorer.exe:debug,テスト,,,,プログラミング,
,2013/05/22 10:30:58,2013/05/22 10:32:52,11,0,0,explorer.exe:release,テスト,,,,プログラミング,
,2013/05/22 10:32:52,2013/05/22 10:33:43,1,0,0,explorer.exe:AIRSForOVLY,テスト,,,,プログラミング,
,2013/05/22 10:33:43,2013/05/22 10:33:47,2,0,0,explorer.exe:release,テスト,,,,プログラミング,
,2013/05/22 10:33:47,2013/05/22 10:34:27,6,1,0,explorer.exe:OVLYConverter,テスト,,,,プログラミング,
,2013/05/22 10:34:27,2013/05/22 10:35:02,0,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,プログラミング,
,2013/05/22 10:35:02,2013/05/22 10:36:02,1,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,プログラミング,
,2013/05/22 10:36:02,2013/05/22 10:40:02,51,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,プログラミング,
,2013/05/22 10:40:02,2013/05/22 10:40:17,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,プログラミング,
,2013/05/22 10:40:17,2013/05/22 10:40:21,3,0,0,explorer.exe:OVLYConverter,テスト,,,,プログラミング,
,2013/05/22 10:40:21,2013/05/22 10:40:23,1,0,0,explorer.exe:BackupSource,テスト,,,,テスト,
,2013/05/22 10:40:23,2013/05/22 10:40:25,2,0,0,explorer.exe:王小,テスト,,,,テスト,
,2013/05/22 10:40:25,2013/05/22 10:40:26,0,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:40:26,2013/05/22 10:40:28,0,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:40:28,2013/05/22 10:40:30,1,0,0,excel.exe:Microsoft Excel,テスト,,,,テスト,
,2013/05/22 10:40:30,2013/05/22 10:40:41,4,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:40:41,2013/05/22 10:40:45,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:40:45,2013/05/22 10:40:46,1,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:40:46,2013/05/22 10:40:59,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:40:59,2013/05/22 10:41:01,0,0,1,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:41:01,2013/05/22 10:41:02,0,0,1,devenv.exe:Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:41:02,2013/05/22 10:41:04,1,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:41:05,2013/05/22 10:41:10,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:41:10,2013/05/22 10:41:17,2,0,4,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:41:17,2013/05/22 10:41:18,1,0,0,airs_ovly.exe:AIRS for OVLY - 000010,テスト,テスト,,,テスト,
,2013/05/22 10:41:18,2013/05/22 10:42:02,1,0,0,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
,2013/05/22 10:42:02,2013/05/22 10:42:03,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:42:03,2013/05/22 10:42:07,2,0,0,explorer.exe:王小,テスト,,,,テスト,
,2013/05/22 10:42:07,2013/05/22 10:42:08,1,0,0,explorer.exe:添付資料(パーツ用変換テーブル）,テスト,,,,テスト,
,2013/05/22 10:42:08,2013/05/22 10:42:09,1,0,0,explorer.exe:backup,テスト,,,,テスト,
,2013/05/22 10:42:09,2013/05/22 10:42:14,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:42:14,2013/05/22 10:42:16,1,0,0,airs_ovly.exe:AIRS for OVLY,テスト,テスト,,,テスト,
