タスク名;開始時刻;終了時刻;左クリック;右クリック;打鍵回数;実行ファイル名;手動分類;候補1;候補2;候補3;自動推定
登録外;2013/05/22 16:43:43;2013/05/22 16:43:48;1;0;0;dwwin.exe:Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:43:48;2013/05/22 16:44:03;1;0;0;iexplore.exe:植物+??-当当网 - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:44:03;2013/05/22 16:44:22;1;0;0;iexplore.exe:《中国高等植物??（第五册）》中国科学院植物研究所　主?_?介_??_在???-当当??#ddclick?act=click&pos=22539739_2_1_q&cat=&key=%D6% - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:44:22;2013/05/22 16:44:35;1;0;0;iexplore.exe:《中国湿地植物??》王辰，王英　?著_?介_??_在???-当当??#ddclick?act=click&pos=21062303_7_1_q&cat=&key=%D6%B2%CE%EF%2 - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:44:35;2013/05/22 16:45:07;1;0;0;iexplore.exe:景??林植物??（一部景??林植物分?与?用的大型工具?，1618?，3000余幅彩??版?精美印刷） - 当当网#ddclick?act=click&pos=23236474_18_2_q - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:45:07;2013/05/22 16:45:30;1;0;0;iexplore.exe:《成?植物??》潘富俊 著_?介_??_在???-当当??#ddclick?act=click&pos=9305208_19_2_q&cat=&key=%D6%B2%CE%EF%2B%CD% - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:45:30;2013/05/22 16:45:46;0;0;0;iexplore.exe:《?典唐?植物??》王士祥 著，胡国平 等?影_?介_??_在???-当当??#ddclick?act=click&pos=9305202_20_2_q&cat=&key=%D6%B2%CE - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:45:46;2013/05/22 16:45:47;1;0;0;iexplore.exe:《?典唐?植物??》王士祥 著，胡国平 等?影_?介_??_在???-当当??#ddclick?act=click&pos=9305202_20_2_q&cat=&key=%D6%B2%CE - Windows Internet Explorer;余暇;;;;余暇
trac　;2013/05/22 16:45:47;2013/05/22 16:47:13;4;0;0;iexplore.exe:《?花植物1000??典??(超?白金版)》徐?春 ?著_?介_??_在???-当当??#ddclick?act=click&pos=22563390_24_1_q&cat=&key=%D6 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:47:13;2013/05/22 16:47:29;2;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:47:29;2013/05/22 16:47:30;0;0;0;iexplore.exe:Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:47:30;2013/05/22 16:47:51;3;0;0;iexplore.exe:?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
ブラウザ;2013/05/22 16:47:51;2013/05/22 16:47:53;1;0;0;iexplore.exe:成功加入?物?--当当网 - Windows Internet Explorer;余暇;;;;余暇
